,precision,recall,f1-score,support
Adventure,0.8095238095238095,0.4146341463414634,0.5483870967741935,41.0
Alternate history,0.7222222222222222,0.43333333333333335,0.5416666666666666,30.0
Apocalyptic and post-apocalyptic fiction,1.0,0.3333333333333333,0.5,9.0
Autobiographical novel,0.0,0.0,0.0,17.0
Bildungsroman,0.0,0.0,0.0,8.0
Children's literature,0.60932944606414,0.6852459016393443,0.6450617283950617,305.0
Crime Fiction,0.6947368421052632,0.6470588235294118,0.6700507614213198,102.0
Detective fiction,0.8285714285714286,0.6041666666666666,0.6987951807228916,48.0
Fantasy,0.7429378531073446,0.7579250720461095,0.7503566333808844,347.0
Gothic fiction,1.0,0.5294117647058824,0.6923076923076923,17.0
High fantasy,0.8181818181818182,0.9,0.8571428571428571,10.0
Historical fiction,0.5763888888888888,0.6287878787878788,0.6014492753623188,132.0
Horror,0.734375,0.5465116279069767,0.6266666666666667,86.0
Humor,0.6666666666666666,0.2,0.3076923076923077,40.0
Literary fiction,1.0,0.16666666666666666,0.2857142857142857,24.0
Mystery,0.6373626373626373,0.6236559139784946,0.6304347826086957,186.0
Romance novel,0.47368421052631576,0.42857142857142855,0.45,63.0
Satire,0.3333333333333333,0.0625,0.10526315789473684,16.0
Science Fiction,0.8179723502304147,0.8086560364464692,0.8132875143184422,439.0
Spy fiction,0.8636363636363636,0.6333333333333333,0.7307692307692307,30.0
Steampunk,1.0,0.5,0.6666666666666666,6.0
Suspense,0.5043478260869565,0.4793388429752066,0.4915254237288136,121.0
Techno-thriller,0.0,0.0,0.0,9.0
Thriller,0.5932203389830508,0.4666666666666667,0.5223880597014925,75.0
Utopian and dystopian fiction,0.3333333333333333,0.08,0.12903225806451613,25.0
War novel,0.6666666666666666,0.3076923076923077,0.42105263157894735,13.0
Western,1.0,0.16666666666666666,0.2857142857142857,6.0
Young adult literature,0.45454545454545453,0.3614457831325301,0.40268456375838924,83.0
micro avg,0.6823017408123792,0.6166958041958042,0.647842056932966,2288.0
macro avg,0.6386084460727182,0.42020007837214884,0.47764677596612015,2288.0
weighted avg,0.6749097204967858,0.6166958041958042,0.6327668619559903,2288.0
samples avg,0.6908850226928895,0.662077660110943,0.6427718944360398,2288.0
